house,money,location,house_info,house_type,part
虎踞路 3室1厅 4500元,4500,鼓楼华侨路,-66㎡南 北3室1厅1卫,all,鼓楼
凤凰街 2室1厅 4500元,4500,鼓楼汉中门大街,-72㎡南 北2室1厅1卫,all,鼓楼
世联红璞公寓 热河南路店 糖果系一室一厅,2600-2650,,25㎡东 南1室1厅1卫,all,鼓楼
紫金江景苑 2室2厅 5200元,5200,鼓楼建宁路,-100㎡南2室2厅1卫,all,鼓楼
聚福园一期 3室2厅 6100元,6100,鼓楼龙江,-109㎡南 北3室2厅1卫,all,鼓楼
中环国际 1室1厅 3300元,3300,鼓楼湖南路,-67㎡东南1室1厅1卫,all,鼓楼
世联红璞公寓 热河南路店 日式一室一厅,1900-2200,,19-20㎡东1室1厅1卫,all,鼓楼
扬州路 3室1厅 4000元,4000,鼓楼宁海路,-75㎡南 北3室1厅1卫,all,鼓楼
汉口路 3室1厅 1800元,1800,鼓楼宁海路,-80㎡南 北3室1厅1卫,all,鼓楼
祁家桥 2室0厅 2800元,2800,鼓楼水佐岗,-57㎡南2室0厅1卫,all,鼓楼
莫愁新寓胜棋里 2室1厅 3200元,3200,鼓楼汉中门大街,-64㎡南 北2室1厅1卫,all,鼓楼
金基翠城 2室2厅 4400元,4400,鼓楼小市,-91㎡南 北2室2厅1卫,all,鼓楼
無砎公寓 凤凰西街店 D型 开间,2500,,25㎡东南1室0厅1卫,all,鼓楼
V+SPACE国际青创社区 幕府西路社区 E户型 开间,1860-2760,,11-24㎡东 东南 南 西南 西1室0厅1卫,all,鼓楼
南堡新寓 3室1厅 2500元,2500,鼓楼建宁路,-80㎡南 北3室1厅1卫,all,鼓楼
金川雅苑 2室2厅 3000元,3000,鼓楼福建路,-82㎡南 北2室2厅1卫,all,鼓楼
西桥 3室1厅 4200元,4200,鼓楼湖南路,-73㎡南 北3室1厅1卫,all,鼓楼
盛福公寓 大桥南路店 一室一卫,1700,,22-25㎡南1室1厅1卫,all,鼓楼
迎江园 2室1厅 2400元,2400,鼓楼定淮门大街,-38㎡南2室1厅1卫,all,鼓楼
劲顺花园 2室1厅 4000元,4000,鼓楼汉中门大街,-75㎡南2室1厅1卫,all,鼓楼
峨嵋岭19号 2室1厅 4500元,4500,鼓楼华侨路,-70㎡南2室1厅1卫,all,鼓楼
自由寓 金川店 精装一室（大窗）,1900,,30㎡南1室1厅1卫,all,鼓楼
江雁依山郡 3室2厅 5800元,5800,鼓楼金陵小区,-142㎡南3室2厅1卫,all,鼓楼
凤凰西街188号 2室1厅 3800元,3800,鼓楼凤凰西街,-62㎡南 北2室1厅1卫,all,鼓楼
万科泊寓 萨家湾社区店 双窗户型,2635,,22㎡东1室1厅1卫,all,鼓楼
万科泊寓 萨家湾社区店 阳台/落地窗户型,2720-3200,,18-28㎡南 西1室1厅1卫,all,鼓楼
万科泊寓 萨家湾社区店 标准户型A1,2295-3200,,19㎡南1室1厅1卫,all,鼓楼
虎踞路49号 3室1厅 4200元,4200,鼓楼凤凰西街,-80㎡南3室1厅1卫,all,鼓楼
萍聚村 3室1厅 4100元,4100,鼓楼华侨路,-68㎡南 北3室1厅1卫,all,鼓楼
白领易居 中山北路店 胶囊房 开间,1600,,16㎡西1室0厅1卫,all,鼓楼
白领易居 中山北路店 标间大床,2300,,35㎡北1室1厅1卫,all,鼓楼
整租 · 定淮门大街 2室1厅 3000元,3000,鼓楼定淮门大街,-56㎡南 北2室1厅1卫,all,鼓楼
白领易居 中山北路店 地台房（榻榻米）,2400,,36㎡北1室1厅1卫,all,鼓楼
整租 · 燕江园小区 7室1厅 12083元,12083,鼓楼金陵小区,-211㎡东 南 西 北7室1厅2卫,all,鼓楼
盛福公寓 大桥南路店 A户型朝北,1500,,20-26㎡北1室1厅1卫,all,鼓楼
盛福公寓 大桥南路店 B户型朝南,2100,,26㎡南1室1厅1卫,all,鼓楼
木子青年公寓 鼓楼店 错层-B,2500,,25㎡1室1厅1卫,all,鼓楼
亿立方公寓 广东路店 复式温馨标准间 开间,1600,,20㎡1室0厅1卫,all,鼓楼
世茂滨江新城 3室2厅 13000元,13000,鼓楼热河南路,-268㎡南 北3室2厅3卫,all,鼓楼
正泰大厦 9室0厅 23000元,23000,鼓楼龙江,-304㎡南 北9室0厅2卫,all,鼓楼
新斐鸿酒店 狮子桥店 A 开间,2200,,20㎡南1室0厅1卫,all,鼓楼
中商万豪 3室2厅 8000元,8000,鼓楼湖南路,-115㎡东3室2厅2卫,all,鼓楼
盛福公寓 大桥南路店 一室一厅一卫,2100,,26-28㎡南1室1厅1卫,all,鼓楼
金陵世纪花园 5室3厅 7000元,7000,鼓楼凤凰西街,-172㎡南5室3厅3卫,all,鼓楼
汇林绿洲广林苑 5室2厅 12000元,12000,鼓楼许府巷,-206㎡南 北5室2厅3卫,all,鼓楼
世茂外滩新城 4室2厅 15000元,15000,鼓楼热河南路,-179㎡南 北4室2厅2卫,all,鼓楼
锦绣江山花园 3室1厅 4500元,4500,鼓楼建宁路,-107㎡南 北3室1厅1卫,all,鼓楼
紫霞公寓 5室2厅 6500元,6500,鼓楼小市,-180㎡南 北5室2厅2卫,all,鼓楼
四平苑 5室3厅 5700元,5700,鼓楼建宁路,-184㎡南5室3厅2卫,all,鼓楼
